#generation,max_fitness, avg_fitness, min_fitness, best A, best B, best C, best D, best_individual_gtype
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
33  ( 30, 20)  12  [0111101001000100010001001101111110111101] -3.477  -7.656  -0.742  +4.180  +746.667
34  (  1, 46)  23  [0111011101001111100100011101011111101111] -2.949  -6.602  -8.262  +3.535  +733.333
35  (  7,  6)  18  [0011101000001101011010111001110011111011] -6.562  -6.973  +6.348  -6.621  +726.667
36  (  4,  4)  39  [1101001111000001011111110011100101011110] +2.285  -9.492  +2.715  -2.109  +720.000
37  ( 25, 28)  28  [1011011101000101101100100010111010100111] +7.051  -7.871  -5.273  +6.133  +720.000
38  ( 14, 52)  33  [0100011000010010101000110001011100100001] -0.332  -1.016  -7.383  +1.211  +720.000
39  ( 53, 32)   3  [0110010011011111110101011100100100101100] -4.434  -3.320  -1.816  -1.094  +706.667
40  (  4, 60)  17  [1101001111000001010010000001001111100010] +2.285  -9.531  +9.844  +3.672  +666.667
41  (  4,  6)  25  [1101001111000001011111110001110011111011] +2.285  -9.492  +2.598  -6.621  +660.000
42  ( 38, 51)   8  [0000000011000010011110011011001111010001] -9.961  -8.867  +8.574  +3.086  +653.333
43  (  2, 50)  15  [0010011101011101001101001010011000110101] -5.449  -3.086  -0.977  +9.238  +600.000
44  ( 14, 18)  31  [0100011000010010101000110001011110110001] -0.332  -1.016  -7.383  +4.336  +600.000
45  ( 11,  2)   2  [0010011101011101001011011111000010000111] -5.449  -3.066  +1.699  -5.117  +580.000
46  (  0,  4)   3  [0100001111000001011111110011100101011110] -0.215  -9.492  +2.715  -2.109  +560.000
47  ( 52, 14)  33  [1110010101001011101101000110101010100110] +4.492  -5.898  -0.391  +6.152  +560.000
48  (  0, 37)  13  [0100010110011001011011100111111010100011] -0.547  -4.473  +4.570  +6.191  +553.333
49  ( 60,  4)  17  [1111110000001010111111110011100101011110] +3.125  -6.055  +2.715  -2.109  +546.667
50  (  2, 11)   2  [0011011110011110010110011010111011111101] -7.109  -3.633  +8.477  +6.680  +533.333
51  (  2, 13)  29  [0010011101011101001011011111001001010001] -5.449  -3.066  +1.699  +8.086  +493.333
52  ( 46, 21)   9  [0010101100010100000011100000000101101101] -6.094  -2.500  +4.980  -1.445  +466.667
53  ( 19,  3)  30  [1110111100000100100000111001010001010011] +4.199  -7.812  -6.387  -8.086  +460.000
54  ( 21,  6)  32  [0111010111010100000011100000000101111011] -3.027  -2.500  +4.980  -1.621  +453.333
55  ( 20, 30)  12  [0110000111001011010101000101010101011010] -4.902  -5.762  -0.508  -2.129  +446.667
56  ( 40, 41)  12  [0111001111110101001011110000101111111000] -2.715  +1.934  +2.559  +3.418  +413.333
57  ( 39, 16)  15  [0110100111110110010001000111110111100001] -3.867  +1.387  -0.430  -3.730  +400.000
58  ( 45,  0)  10  [1011110000111011010101110011000011100110] +6.855  +4.238  -2.676  -6.348  +400.000
59  ( 44,  0)  10  [0111110010111011010101110011000011100110] -3.203  +4.238  -2.676  -6.348  +400.000
60  ( 18, 10)  13  [1110011101010010001100101011110101011001] +4.551  -1.211  -6.055  -2.168  +380.000
61  ( 51,  3)   5  [1000000100001111100001111010110001010011] +9.844  -6.582  -3.496  -8.086  +333.333
62  (  3, 19)  30  [0111000100001111100001111010110100000000] -2.656  -6.582  -3.496  -0.020  +333.333
63  ( 28,  0)  23  [0100100010000100111010100011000011100110] -1.191  -7.734  +5.156  -6.348  +326.667
64  (  1,  2)  18  [0111011101001111100011011111000010000111] -2.949  -6.582  +1.699  -5.117  +320.000
65  (  2,  1)  18  [0010011101011101001100010111000001010100] -5.449  -3.086  -7.969  -7.988  +293.333
66  (  4,  0)   3  [1101010110011011010101110011000011100110] +1.953  -4.258  -2.676  -6.348  +253.333
67  (  0, 28)  23  [0100010110011011010101111100011010100111] -0.547  -4.258  -3.164  +6.133  +240.000
68  ( 27,  4)   7  [1111011111000001011111110011100101011110] +2.910  -9.492  +2.715  -2.109  +240.000
69  (  0, 39)  15  [0100010110011011111010110100011101011001] -0.547  -4.160  +6.895  +2.148  +226.667
70  ( 18, 32)  15  [1110011101010010110101011100100100101100] +4.551  -1.074  -1.816  -1.094  +226.667
71  ( 31,  6)  13  [1011111011000001111010111001110011111011] +6.602  -9.609  +6.348  -6.621  +220.000
72  (  6,  0)  24  [0011001111001001111010111011000011100110] -7.305  -5.410  +6.406  -6.348  +213.333
73  ( 28, 25)  28  [0100100010000100111010101100010101110011] -1.191  -7.734  +5.645  -1.836  +200.000
74  ( 33, 33)  39  [0010101011000001110010010000001110111010] -5.996  -9.551  +7.500  +4.121  +186.667
75  ( 56, 38)  28  [1000101001011110101010010101001000101101] +9.023  -3.516  +7.969  +8.926  +186.667
76  ( 16, 39)  15  [1101001000010100111010110100011101011001] +2.188  -2.285  +6.895  +2.148  +160.000
77  (  4, 27)   7  [1101001110001101010110011101011111111111] +2.266  -7.012  +8.242  +3.320  +160.000
78  ( 13, 48)  21  [1000000000110001110100010001000100010111] +9.980  +0.430  -7.656  -0.527  +160.000
79  (  0, 44)  10  [0100010110000100111010110010001110111101] -0.547  -7.734  +7.188  +4.180  +160.000
80  (  6,  7)  18  [0011001111001001111001101110010110111010] -7.305  -5.410  -4.102  -4.141  +146.667
81  (  7,  7)  39  [0011101000001101011001101110010110111010] -6.562  -6.973  -4.102  -4.141  +120.000
82  (  6, 31)  13  [0011001111001011011101101010000010100001] -7.305  -5.742  -4.062  -6.230  +120.000
